Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Order and check out a single product multiple times,Chrome 119.0.0.0,,,11-12-2023 11:23:38,11-12-2023 11:39:08,15m - 30.143s,FAILED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 119.0.0.0,,,11-12-2023 11:23:38,11-12-2023 11:31:53,8m - 14.428s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 119.0.0.0,,,11-12-2023 11:23:39,11-12-2023 11:25:09,1m - 30.608s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 119.0.0.0,,,11-12-2023 11:25:09,11-12-2023 11:25:13,3.635s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 119.0.0.0,,,11-12-2023 11:25:13,11-12-2023 11:25:38,25.064s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 119.0.0.0,,,11-12-2023 11:25:38,11-12-2023 11:28:03,2m - 24.484s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 119.0.0.0,,,11-12-2023 11:28:03,11-12-2023 11:31:53,3m - 50.252s,FAILED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 119.0.0.0,,,11-12-2023 11:31:53,11-12-2023 11:37:06,5m - 12.586s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 119.0.0.0,,,11-12-2023 11:31:53,11-12-2023 11:35:11,3m - 17.805s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 119.0.0.0,,,11-12-2023 11:35:11,11-12-2023 11:35:12,0.756s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 119.0.0.0,,,11-12-2023 11:35:12,11-12-2023 11:35:14,2.268s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 119.0.0.0,,,11-12-2023 11:35:14,11-12-2023 11:37:05,1m - 51.705s,FAILED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 119.0.0.0,,,11-12-2023 11:37:06,11-12-2023 11:38:14,1m - 8.770s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 119.0.0.0,,,11-12-2023 11:37:06,11-12-2023 11:38:14,1m - 8.746s,FAILED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 119.0.0.0,,,11-12-2023 11:38:15,11-12-2023 11:39:08,53.307s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 119.0.0.0,,,11-12-2023 11:38:15,11-12-2023 11:39:08,53.281s,FAILED
