Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuit Order,Chrome 119.0.0.0,,,11-12-2023 17:07:08,11-12-2023 17:08:01,52.606s,PASSED
,,,,,,,
Test Cases/TC Sample for Sertifikasi/TC Get Profil,Chrome 119.0.0.0,,,11-12-2023 17:07:09,11-12-2023 17:07:26,17.394s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,11-12-2023 17:07:09,11-12-2023 17:07:11,2.343s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 119.0.0.0,,,11-12-2023 17:07:11,11-12-2023 17:07:16,4.188s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 119.0.0.0,,,11-12-2023 17:07:16,11-12-2023 17:07:16,0.500s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""))",Chrome 119.0.0.0,,,11-12-2023 17:07:16,11-12-2023 17:07:17,0.925s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 119.0.0.0,,,11-12-2023 17:07:17,11-12-2023 17:07:18,1.223s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 119.0.0.0,,,11-12-2023 17:07:18,11-12-2023 17:07:19,0.546s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 119.0.0.0,,,11-12-2023 17:07:19,11-12-2023 17:07:20,1.070s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 119.0.0.0,,,11-12-2023 17:07:20,11-12-2023 17:07:20,0.513s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Profile""))",Chrome 119.0.0.0,,,11-12-2023 17:07:20,11-12-2023 17:07:21,0.972s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 119.0.0.0,,,11-12-2023 17:07:21,11-12-2023 17:07:22,0.486s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_History""))",Chrome 119.0.0.0,,,11-12-2023 17:07:22,11-12-2023 17:07:23,0.913s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 119.0.0.0,,,11-12-2023 17:07:23,11-12-2023 17:07:23,0.479s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Home""))",Chrome 119.0.0.0,,,11-12-2023 17:07:23,11-12-2023 17:07:24,0.861s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 119.0.0.0,,,11-12-2023 17:07:24,11-12-2023 17:07:24,0.367s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Logout""))",Chrome 119.0.0.0,,,11-12-2023 17:07:24,11-12-2023 17:07:26,1.484s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,11-12-2023 17:07:26,11-12-2023 17:07:26,0.304s,PASSED
,,,,,,,
Test Cases/TC Sample for Sertifikasi/TC Make Appointment,Chrome 119.0.0.0,,,11-12-2023 17:07:26,11-12-2023 17:07:40,13.258s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,11-12-2023 17:07:26,11-12-2023 17:07:27,0.807s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 119.0.0.0,,,11-12-2023 17:07:27,11-12-2023 17:07:31,4.307s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 119.0.0.0,,,11-12-2023 17:07:31,11-12-2023 17:07:32,0.823s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 119.0.0.0,,,11-12-2023 17:07:32,11-12-2023 17:07:33,0.750s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 119.0.0.0,,,11-12-2023 17:07:33,11-12-2023 17:07:34,0.476s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 119.0.0.0,,,11-12-2023 17:07:34,11-12-2023 17:07:35,1.012s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 119.0.0.0,,,11-12-2023 17:07:35,11-12-2023 17:07:36,1.053s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_programs""))",Chrome 119.0.0.0,,,11-12-2023 17:07:36,11-12-2023 17:07:36,0.385s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 119.0.0.0,,,11-12-2023 17:07:36,11-12-2023 17:07:36,0.385s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 119.0.0.0,,,11-12-2023 17:07:36,11-12-2023 17:07:37,0.396s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_1""))",Chrome 119.0.0.0,,,11-12-2023 17:07:37,11-12-2023 17:07:37,0.493s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_29""))",Chrome 119.0.0.0,,,11-12-2023 17:07:37,11-12-2023 17:07:38,0.478s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_comment""), ""None"")",Chrome 119.0.0.0,,,11-12-2023 17:07:38,11-12-2023 17:07:39,0.812s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 119.0.0.0,,,11-12-2023 17:07:39,11-12-2023 17:07:39,0.765s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,11-12-2023 17:07:39,11-12-2023 17:07:39,0.194s,PASSED
,,,,,,,
Test Cases/TC Sample for Sertifikasi/TC Order,Chrome 119.0.0.0,,,11-12-2023 17:07:40,11-12-2023 17:08:01,21.460s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,11-12-2023 17:07:40,11-12-2023 17:07:40,0.770s,PASSED
"navigateToUrl(""https://openjsf.org/"")",Chrome 119.0.0.0,,,11-12-2023 17:07:40,11-12-2023 17:07:43,2.700s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,11-12-2023 17:07:43,11-12-2023 17:07:43,0.194s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,11-12-2023 17:07:43,11-12-2023 17:07:44,0.905s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 119.0.0.0,,,11-12-2023 17:07:44,11-12-2023 17:07:48,4.263s,PASSED
